member_name,member_number
"AUGMENT MARKETS, INC.",28762
AUGUSTAR LIFE INSURANCE COMPANY,12801
"AUGUSTAR VARIABLE INSURANCE PRODUCTS FUND, INC.",16906
"AUSDAL FINANCIAL PARTNERS, INC.",15427
"AVANTAX INVESTMENT SERVICES, INC.",18307
"AVENUE CAPITAL MANAGEMENT II, L.P.",18733
AXCELUS FINANCIAL LIFE INSURANCE COMPANY,17857
AXONIC CAPITAL LLC,19498
AXOS CLEARING LLC,12122
"B. RILEY WEALTH MANAGEMENT, INC.",14442
B.C. ZIEGLER AND COMPANY,14457
"BACELINE INVESTMENTS, LLC",16520
BAILLIE GIFFORD FUNDS SERVICES LLC,18039
BANK OF AMERICA N.A.,10305
"BANK OF AMERICA, NATIONAL ASSOCIATION",10304
BANKERS LIFE AND CASUALTY COMPANY,19685
"BANKERS LIFE SECURITIES, INC.",19684
BANKERS' BANK,18482
"BANKOH INVESTMENT SERVICES, INC.",19618
BANNER LIFE INSURANCE COMPANY,16395
"BARCLAYS BANK PLC, NEW YORK BRANCH",18372
BARCLAYS CAPITAL INC.,10334
BARINGS LLC,19617
BARNUM INFORCE INSIGHTS LLC,23579
"BARON CAPITAL, INC.",10339
BAYARD ASSET MANAGEMENT LLC,27999
BBVA SECURITIES INC.,15959
BCM CAPITAL MANAGEMENT LLC,18420
BEACON COMMUNITY BANK,20777
"BENEFIT STREET PARTNERS, LLC",17788
BENEFIT TRUST COMPANY,10379
BENTALLGREENOAK (U.S.) LIMITED PARTNERSHIP,23338
"BERKSHIRE GROUP, L.L.C.",27537
BERTOLET CAPITAL TRUST,10393
BETA CAPITAL SECURITIES LLC,18641
"BETA WEALTH GROUP, INC.",27188
"BGC FINANCIAL, L.P.",10402
BGV VC MANAGEMENT LLC,18422
"BITWISE ASSET MANAGEMENT, INC.",18308
"BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A.",10423
"BLACKROCK INVESTMENTS, LLC",10424
BLACKSTONE SECURITIES PARTNERS L.P.,17738
BLUE OWL CAPITAL CORPORATION II,17848
BLUE OWL CREDIT INCOME CORP.,19519
BLUE OWL DIGITAL INFRASTRUCTURE TRUST,28197
BLUE OWL NLT OPERATING PARTNERSHIP LP,26081
BLUE OWL REAL ESTATE EXCHANGE LLC,24658
BLUE OWL REAL ESTATE NET LEASE TRUST,21559
BLUE OWL SECURITIES LLC,27437
BLUE OWL TECHNOLOGY FINANCE CORP.,18396
BLUE OWL TECHNOLOGY INCOME CORP.,20617
BLUEPRINT INSURANCE SERVICES LLC,28219
"BLUEROCK FUND ADVISOR, LLC",18161
BMG VALUE FUND LLC,28103
BMO ASSET MANAGEMENT CORP,18244
BMO BANK NATIONAL ASSOCIATION,11659
