member_name,member_number
INTESA SANPAOLO IMI SECURITIES CORP.,10295
INVENTRUST PROPERTIES CORP.,16633
"INVESCO CAPITAL MARKETS, INC.",14181
"INVESCO DISTRIBUTORS, INC.",11842
INVESTNEXT INC.,25121
INVESTORS HERITAGE LIFE INSURANCE COMPANY,23397
"IRON BRIDGE MORTGAGE FUND, LLC",27804
"IROQUOIS VALLEY FARM REIT, PBC",18764
ISQ OPEN INFRASTRUCTURE COMPANY LLC,27717
ITA INTERNATIONAL INSURER,23168
J.P. MORGAN INSTITUTIONAL INVESTMENTS INC.,11958
J.P. MORGAN SECURITIES LLC,11968
"J.W. COLE FINANCIAL, INC.",17887
J.W. KORTH & COMPANY LIMITED PARTNERSHIP,17326
JACKSON NATIONAL LIFE INSURANCE COMPANY,11883
JACKSON NATIONAL LIFE INSURANCE COMPANY OF NEW YORK,11884
"JAMES BAKER & ASSOCIATES, LP",11888
JAMES I. BLACK & COMPANY,10420
"JANE STREET CAPITAL, LLC",18416
"JANE STREET EXECUTION SERVICES, LLC",21498
JANNEY MONTGOMERY SCOTT LLC,11897
JANUS HENDERSON DISTRIBUTORS US LLC,11899
"JB CAPITAL MANAGEMENT, LLC",18769
JDP CAPITAL MANAGEMENT LLC,23658
JEFFERIES LLC,11903
JEFFERSON NATIONAL LIFE INSURANCE COMPANY,11910
"JLL INCOME PROPERTY TRUST, INC.",28500
JOHN HANCOCK INVESTMENT MANAGEMENT DISTRIBUTORS LLC,11926
JOHN HANCOCK LIFE & HEALTH INSURANCE COMPANY,18950
JOHN HANCOCK LIFE INSURANCE COMPANY (U.S.A.),11929
JOHN HANCOCK LIFE INSURANCE COMPANY OF NEW YORK,11934
JOHN HANCOCK TRUST COMPANY LLC,16897
"JOHNSTONE BROKERAGE SERVICES, LLC",19881
"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",11948
"JPMORGAN DISTRIBUTION SERVICES, INC.",11957
JSQ ADMINISTRATIVE SERVICES LLC,20103
"JUMP TRADING, LLC",19521
JVM REALTY CORPORATION,17546
K.W. CHAMBERS & CO.,18036
KANSAS CITY LIFE INSURANCE COMPANY,16926
"KAYNE ANDERSON CAPITAL ADVISORS, L.P.",18013
"KBS CAPITAL MARKETS GROUP, LLC",15394
"KENDALL SUSTAINABLE INFRASTRUCTURE, LLC",23706
"KESTRA INVESTMENT SERVICES, LLC",12662
KEY INVESTMENT SERVICES LLC,15130
KEYBANK NATIONAL ASSOCIATION,12029
KING STRATEGIC ENERGY FUNDS LP,17707
"KINGSWOOD CAPITAL PARTNERS, LLC",18468
KKR CAPITAL MARKETS LLC,22329
KNIGHTSBRIDGE ADVISERS LLC,18580
KOVACK SECURITIES INC.,18954
LACONIA ADVISORY SERVICES LLC,29062
"LAFAYETTE SQUARE HOLDING COMPANY, LLC",20812
"LAKEVIEW FINANCIAL GROUP, LLC",25638
"LARSON FINANCIAL GROUP, LLC",19481
"LARSON FINANCIAL SECURITIES, LLC",22860
"LASALLE INVESTMENT MANAGEMENT, INC.",16358
"LASALLE ST. SECURITIES, L.L.C.",12094
LAZARD ASSET MANAGEMENT SECURITIES LLC,12105
LDR CAPITAL MANAGEMENT LLC,15944
"LEGACY NW FUND, LLC",18620
"LEGACY OPPORTUNITY FUND, LLC",17407
"LEGENDARY CAPITAL, LLC",17571
"LEIGH BALDWIN & CO., LLC",12128
"LESKO SECURITIES, INC.",28758
"LEVEL FOUR FINANCIAL, LLC",21137
"LIFE POLICY MANAGEMENT, LLC",20545
LIFEMARK SECURITIES CORP.,20097
LINCOLN BENEFIT LIFE COMPANY,12178
"LINCOLN INVESTMENT PLANNING, LLC",12182
LINCOLN LIFE & ANNUITY COMPANY OF NEW YORK,12183
LINCOLN VARIABLE INSURANCE PRODUCTS TRUST,15122
"LION STREET FINANCIAL, LLC",17115
LIONSCREST FUNDS SPC,18376
"LLK INSURANCE BROKERAGE SERVICES, LLC",12196
"LOCKTON FINANCIAL ADVISORS, LLC",18958
"LODAS SECURITIES, LLC",24479
"LODAS TRANSFER, LLC",24597
"LOOMIS SAYLES TRUST COMPANY, LLC",15154
LORD ABBETT DISTRIBUTOR LLC,12210
"LPL ENTERPRISE, LLC",25319
LPL FINANCIAL LLC,12216
"LUCID CAPITAL MARKETS, LLC DBA AMERICAS EXECUTIONS",29142
LUKROM IFUND LP,28238
"LUMA FINANCIAL TECHNOLOGIES, LLC",21939
LWO LLC,26917
"M FUND, INC.",12422
"M HOLDINGS SECURITIES, INC.",12427
MACKAY SHIELDS LLC,17928
"MACKENZIE REALTY CAPITAL, INC.",16887
MACQUARIE CAPITAL (USA) INC.,15093
"MADISON AVENUE SECURITIES, INC",12234
MADISON GLOBAL ADVISORS LLC,20437
"MADOFF (BERNARD L.) INVESTMENT SECURITIES, LLC",18960
"MAKERS FORWARD, LLC",23820
"MANNING & NAPIER INVESTOR SERVICES, INC.",12251
MANUFACTURERS AND TRADERS TRUST COMPANY,12256
"MAPLEWOOD INVESTMENTS, INC.",28339
"MARBLE CAPITAL, L.P.",28518
MAREX CAPITAL MARKETS INC.,18404
MARKETAXESS CORPORATION,19238
MASSACHUSETTS MUTUAL LIFE INSURANCE COMPANY,15801
MASSMUTUAL ASCEND LIFE INSURANCE COMPANY,11581
MATRIX TRUST COMPANY,12424
"MATRIX 360 DISTRIBUTORS, LLC",12274
"MATTHEW 25 FUND, INC.",12282
MAXIM GROUP LLC,18961
MCNALLY FINANCIAL SERVICES CORPORATION,21103
"MEEDER DISTRIBUTION SERVICES, INC.",10030
"MEGATEL CAPITAL INVESTMENT, LLC",18271
MERCER INVESTMENTS LLC,17743
MERCER TRUST COMPANY,17742
MERIDEN IFM SGOIC SAU,18302
MERIT LIFE INSURANCE CO.,28399
"MERRILL LYNCH, PIERCE, FENNER & SMITH INCORPORATED",16637
METROPOLITAN LIFE INSURANCE COMPANY,17806
"METROPOLITAN PARTNERS GROUP MANAGEMENT, LLC",17917
"MFD DISTRIBUTOR, LLC",18523
MFG FUNDS INC,11410
"MFS FUND DISTRIBUTORS, INC.",12419
MFS HERITAGE TRUST COMPANY,12420
MFS INTERNATIONAL FUNDS,12421
"MICHAEL J. LICCAR & COMPANY, LLC",16228
MID ATLANTIC CLEARING & SETTLEMENT CORPORATION,10034
MID ATLANTIC TRUST COMPANY,16335
"MIDAS SECURITIES GROUP, INC.",11861
MIDLAND NATIONAL LIFE INSURANCE COMPANY,12440
"MILITELLO CAPITAL, LLC",17038
"MILLENNIUM ADVISORS, LLC",25918
"MILLS VALUE ADVISER, INC.",16201
"MINISTRY PARTNERS INVESTMENT COMPANY, LLC",21477
MINNESOTA LIFE INSURANCE COMPANY,12452
MIRAE ASSET SECURITIES (USA) INC.,17904
MIZUHO SECURITIES USA LLC,12461
MML BAY STATE LIFE INSURANCE COMPANY,12468
"MML DISTRIBUTORS, LLC",16707
"MML INVESTORS SERVICES, LLC",12469
MMM SECURITIES LLC,27597
MOBILE INFRASTRUCTURE CORPORATION,17428
MODERN WOODMEN OF AMERICA,16126
MONARK CAPITAL MANAGEMENT LLC,28037
"MONIMUS CAPITAL MANAGEMENT, LP",27063
MONTICELLO FINANCIAL GROUP LLC,19437
"MOODY NATIONAL REIT I, INC.",17445
"MOODY NATIONAL REIT II, INC.",17446
MORGAN STANLEY & CO. LLC,12490
MORGAN STANLEY AIP GP LP,27157
MORGAN STANLEY SMITH BARNEY LLC,16619
MS CAPITAL PARTNERS ADVISER INC.,19398
"MSREF REAL ESTATE ADVISOR, INC.",26638
MUFG SECURITIES AMERICAS INC.,12459
MUNDOVAL FUNDS,12520
"MURIEL SIEBERT & CO., LLC",13787
MUTUAL OF OMAHA INSURANCE COMPANY,17501
"MUTUAL OF OMAHA INVESTOR SERVICES, INC.",12530
"MUTUAL SECURITIES, INC.",18877
"MUTUAL SHAREHOLDER SERVICES, LLC",17380
M1 FINANCE LLC,22764
"NASDAQ EXECUTION SERVICES, LLC",12543
NASDAQ PHLX LLC,14656
"NASDAQ TEXAS, LLC",12547
NASSAU LIFE AND ANNUITY COMPANY,15727
NASSAU LIFE INSURANCE COMPANY,13065
NATIONAL BANK OF CANADA FINANCIAL INC.,16783
NATIONAL FINANCIAL SERVICES LLC,12556
NATIONAL INTEGRITY LIFE INSURANCE COMPANY,12558
NATIONAL LIFE INSURANCE COMPANY,14581
NATIONAL SECURITY LIFE AND ANNUITY COMPANY,12563
"NATIONAL SERVICE GROUP OF AMERILIFE, LLC",26117
"NATIONAL WESTERN LIFE INSURANCE COMPANY, INC.",17906
"NATIONS FINANCIAL GROUP, INC",20237
NATIONWIDE FUND DISTRIBUTORS LLC,12567
NATIONWIDE INVESTMENT SERVICES CORPORATION,12569
NATIONWIDE LIFE AND ANNUITY INSURANCE COMPANY,15165
NATIONWIDE LIFE INSURANCE COMPANY,12571
"NATIONWIDE RETIREMENT SOLUTIONS, INC.",17464
"NATIONWIDE SECURITIES, LLC",12575
"NATIXIS DISTRIBUTION, LLC",12577
NATIXIS SECURITIES AMERICAS LLC,12576
NAV CONSULTING INC,19399
"NEEDHAM & COMPANY, LLC",12590
NEIMAN FUNDS,12592
NEPTUNE GLOBAL HOLDINGS LLC,18744
"NESF INVESTMENT SERVICES, LLC",18839
NEST INVESTMENTS BD LLC,18894
NEUBERGER BERMAN MANAGEMENT LLC,12605
"NEW FFR INSURANCE SERVICES, INC.",27499
NEW VERNON INVESTMENT MANAGEMENT LLC,16518
NEW YORK LIFE INSURANCE AND ANNUITY CORPORATION,12617
"NEWEDGE SECURITIES, LLC",12433
"NEWPORT GROUP SECURITIES, INC.",14564
NEXPOINT ADVISORS LP,16841
NFSCO-STOCK LOAN,12664
"NOBLE ROYALTIES, INC.",18969
"NOMURA SECURITIES INTERNATIONAL, INC.",12674
NORDEA INVESTMENT FUNDS S.A.,16566
NORTH AMERICAN COMPANY FOR LIFE AND HEALTH INSURANCE,17893
NORTH CAPITAL ADMINISTRATOR SERVICES INC.,19979
NORTH CAPITAL PRIVATE SECURITIES CORPORATION,23521
NORTHEAST INVESTORS TRUST,12683
"NORTHEAST RETIREMENT SERVICES, LLC",12684
"NORTHERN LIGHTS DISTRIBUTORS, LLC",12687
"NORTHERN TRUST SECURITIES, INC.",18971
"NORTHWESTERN MUTUAL INVESTMENT SERVICES, LLC",12747
"NORTHWESTERN MUTUAL LIFE INSURANCE COMPANY, THE",12748
NSCC CLOSE OUT ACCT #9,18972
"NUVEEN SECURITIES, LLC",12759
NYLIFE DISTRIBUTORS LLC,12769
NYLIFE SECURITIES LLC,18973
"NYSE ARCA, INC.",18974
"NYSE ARCA, INC. OMNIBUS ACCOUNT",18975
"OAK HILL ADVISORS, L.P.",22280
OAKMARK FUND,12778
OAKTREE STRATEGIC CREDIT FUND,20978
"OAKWOOD CAPITAL SECURITIES, INC.",27097
"OBERWEIS SECURITIES, INC.",12782
OCEANVIEW LIFE AND ANNUITY COMPANY,18980
"OCONNOR DAVIES ADMINISTRATION, LLC",18479
"OCTAVUS GROUP, LLC",24078
OFFIT CAPITAL ADVISORS LLC,23578
"OFS CAPITAL MANAGEMENT, LLC",18028
"OLSON URBAN HOUSING, LLC",24538
"ONE AMERICA SECURITIES, INC.",12817
ONE RESOURCE GROUP CORPORATION,19123
"OPEN INVESTMENT MANAGEMENT, LP",28539
OPPENHEIMER & CO. INC.,12821
"OPTO INVESTMENTS, INC",22477
OPUS FUND SERVICES (USA) LLC,16092
"ORIGIN HOLDING COMPANY, LLC",18223
"OROCK TECHNOLOGIES, INC.",22823
"OSAIC INSTITUTIONS, INC.",11786
"OSAIC WEALTH, INC.",13470
OXFORD LIFE INSURANCE COMPANY,18522
P.J. ROBB VARIABLE LLC,15473
PACIFIC LIFE & ANNUITY COMPANY,12849
PACIFIC LIFE INSURANCE COMPANY,27720
PACIFIC OAK CAPITAL ADVISORS LLC,18738
"PACKERLAND BROKERAGE SERVICES, INC",18693
PALMER SQUARE CAPITAL MANAGEMENT LLC,15972
"PANORAMA POINT PARTNERS, LLC",17791
PARADIGM FUNDS,12862
PARALEL DISTRIBUTORS LLC,21837
"PARK AVENUE SECURITIES, LLC",12868
PARK SHORE PARTNERS LLC,23958
"PARKLAND SECURITIES, LLC",14961
PARNASSUS INVESTMENTS,12870
"PARSONEX PROPERTIES, LLC",22117
"PARTICIPANT CAPITAL ADVISORS, LLC",18521
"PARTICIPANT CAPITAL PARTNER US, LLC",18365
"PARTNER FUND SERVICES, LLC",29158
"PASADENA PRIVATE HOLDINGS, LLC",24679
PAYDEN & RYGEL DISTRIBUTORS,12874
"PEACHCAP SECURITIES, INC.",18100
"PEACHTREE PC ADVISORS, LLC",18646
"PEMBROOK CAPITAL MANAGEMENT, LLC",15937
"PENDER CAPITAL MANAGEMENT, LLC",17226
PENNANTPARK PRIVATE INCOME FUND,28198
"PERENNIAL CAPITAL ADVISORS, LLC",23779
"PERENNIAL FUND SERVICES, LLC",16202
PERSHING LLC,13200
PFS FUNDS,14408
PFS INVESTMENTS INC.,13056
PHILLIP CAPITAL INC.,17272
PHL VARIABLE INSURANCE COMPANY,13063
"PIA RESIDENTIAL, LLC",26807
"PIEDMONT FUND SERVICES, INC.",16426
PIMCO INVESTMENTS LLC,14923
PINE DISTRIBUTORS LLC,26520
"PINNACLE INVESTMENTS, LLC",16505
PIPING ROCK PARTNERS INC.,18643
PLANMEMBER SECURITIES CORPORATION,13083
"PLATFORM INVESTMENTS, LLC",18600
"PNC BANK, NATIONAL ASSOCIATION",13088
PNC CAPITAL MARKETS LLC,13087
POPULAR SECURITIES LLC,13100
"PORTFOLIO ADVISORS, LLC",25539
"PPB ADVISORS, LLC",15669
"PRECISION CAPITAL ADVISORS, LLC",16220
"PREFERRED PRODUCT NETWORK, INC.",14788
PREP PROPERTY GROUP LLC,28920
"PRESIDENTIAL BANK, FSB",13119
"PRIME CAPITAL INVESTMENT ADVISORS, LLC",22177
"PRIME FINANCE ADVISOR, L.P.",25397
PRINCIPAL LIFE INSURANCE COMPANY,20286
"PRINCIPAL REAL ESTATE INVESTORS, LLC",26577
"PRINCIPAL SECURITIES, INC.",13139
"PRIVATE CLIENT SERVICES, LLC",13146
"PROFUNDS DISTRIBUTORS, INC.",14966
"PROSPECT FLOATING RATE AND ALTERNATIVE INCOME FUND, INC.",20811
"PROSPERA FINANCIAL SERVICES, INC.",17825
PROTECTIVE LIFE & ANNUITY INSURANCE COMPANY,13160
PROTECTIVE LIFE INSURANCE COMPANY,13161
"PROTEUS, LLC",18218
PRUCO LIFE INSURANCE COMPANY,13163
PRUCO LIFE INSURANCE COMPANY OF NEW JERSEY,13164
PRUDENTIAL INSURANCE COMPANY OF AMERICA,13172
PRUDENTIAL INVESTMENT MANAGEMENT SERVICES LLC,23040
"PUBLIC VENTURES, LLC DBA MDB CAPITAL",20401
PURSHE KAPLAN STERLING INVESTMENTS INC,19278
"PWA SECURITIES, LLC",28360
"QUASAR DISTRIBUTORS, LLC",14790
"QUASAR DISTRIBUTORS, LLC CHASE GROWTH FUND",13230
"RAYMOND JAMES & ASSOCIATES, INC.",20403
"RAYMOND JAMES FINANCIAL SERVICES, INC.",22161
"RBC CAPITAL MARKETS, LLC",18991
"RE NECTAR, INC.",25905
REALTA EQUITIES INC,23137
REASSURE AMERICA LIFE INSURANCE COMPANY,13369
"REGIONS INVESTMENT SERVICES, INC.",14571
"REGULUS ADVISORS, LLC.",17074
"RELATED FUND MANAGEMENT, LLC",18505
"RELIANCE CAPITAL MARKETS II, LLC",16702
RELIANCE STANDARD LIFE INSURANCE COMPANY,15497
RELIANCE TRUST COMPANY,13394
RELIASTAR LIFE INSURANCE COMPANY,13400
RELIASTAR LIFE INSURANCE COMPANY OF NEW YORK,13401
"REPOOL, INC.",28141
REYNOLDS FUNDS INC,13414
RFS PARTNERS,13415
"RISK AND INSURANCE ASSOCIATES, LLC",25277
RIVERROCK TRUST LLC,17354
RIVERSOURCE LIFE INSURANCE CO. OF NEW YORK,10144
RIVERSOURCE LIFE INSURANCE COMPANY,10151
ROBERT W. BAIRD & CO. INCORPORATED,18647
"ROBINHOOD SECURITIES, LLC",18190
"ROYAL BANK OF CANADA, WFC BRANCH",20424
ROYAL OAK REALTY TRUST INC.,17532
"ROYCE FUND SERVICES, LLC",13474
"RQD* CLEARING, LLC",20502
RREEF AMERICA L.L.C.,16017
"RUSSELL INVESTMENTS FINANCIAL SERVICES, LLC",13482
RUSSELL INVESTMENTS TRUST COMPANY,13492
S & CO. INC.,23037
"S.USA LIFE INSURANCE COMPANY, INC.",18079
"S&S BUSINESS GROUP, INC.",27938
SAFRA SECURITIES LLC,17179
SAGICOR LIFE INSURANCE COMPANY,22377
SAMMONS FINANCIAL NETWORK LLC,16528
"SANCTUARY SECURITIES, INC.",16258
"SANDPIPER LODGING MANAGER, LLC",23837
"SANFORD C. BERNSTEIN & CO., LLC",10389
SANTANDER SECURITIES LLC,25444
SANTANDER US CAPITAL MARKETS LLC,18902
"SATURNA BROKERAGE SERVICES, INC",13528
SATURNA TRUST COMPANY,17708
"SAXONY SECURITIES, INC.",15899
"SBLI USA LIFE INSURANCE COMPANY, INC.",18078
"SCHRODER FUND ADVISORS, LLC",13542
SCOTIA CAPITAL (USA) INC.,13546
"SEALY & COMPANY, LLC",21459
SECOND CENTURY AG LLC,18883
"SECURITIES CAPITAL PARTNERS, LLC",26539
SECURITIES TRANSFER CORPORATION,18200
SECURITY BENEFIT LIFE INSURANCE COMPANY,13577
SECURITY LIFE OF DENVER INSURANCE COMPANY,18996
SECURITY MUTUAL LIFE INSURANCE COMPANY OF NEW YORK,18185
SEI INVESTMENTS DISTRIBUTION CO.,18114
SEI PRIVATE TRUST COMPANY,13603
SEI TRUST COMPANY,17614
SETPOINT MANAGEMENT LLC,27677
"SG AMERICAS SECURITIES, LLC",13623
SGGG FUND SERVICES (U.S.) INC,17998
SHALEHAVEN PARTNERS ENERGY & ASSET MANAGEMENT LLC,25697
SHEARSON LEHMAN ACCT #2,18997
SHOPOFF REALTY INVESTMENTS L.P.,17819
SIA SECURITIES CORP.,13642
SIGMA FINANCIAL CORPORATION,14857
"SIGNAL ADVISORS INSURANCE, LLC",21537
"SIGNATURE ESTATE SECURITIES, LLC.",23865
"SIGNATUREFD, LLC",15128
"SIGULER GUFF ADVISERS, LLC",27921
SILA REALTY TRUST INC.,15617
"SILVER OAK SECURITIES, INC.",22300
SIMKOWITZ & COMPANY INC.,19117
"SIMPLICITY FINANCIAL MARKETING HOLDINGS, INC.",25859
"SMBC NIKKO SECURITIES AMERICA, INC.",13665
SOCIETY HILL CAPITAL ADVISOR LLC,28346
"SORTIS HOLDINGS, INC.",18725
"SOUTH STATE BANK, NATIONAL ASSOCIATION",10657
"SOUTHWEST VALUE PARTNERS ENTERPRISE, LLC",16590
"SOWER CAPITAL MANAGEMENT, LLC",17982
"SOWER FARM MANAGEMENT, LLC",19717
SPHINX INVESTMENTS LLC,26397
"SPIRE SECURITIES, LLC",17547
"SQN CAPITAL MANAGEMENT, LLC",16049
"SS&C MARKET SERVICES, LLC",14235
"SS&C TECHNOLOGIES, INC.",18998
SSB-TRUST CUSTODY-DTC #2319,13711
STANDARD INSURANCE COMPANY,13715
"STARBOARD REALTY ADVISORS, LLC",27977
STARWOOD CREDIT REAL ESTATE INCOME TRUST,24170
"STARWOOD REAL ESTATE INCOME TRUST, INC.",18219
STATE FARM VP MANAGEMENT CORP.,20709
STATE STREET BANK AND TRUST COMPANY,13742
"STATE STREET GLOBAL ADVISORS FUNDS DISTRIBUTORS, LLC",13744
"STATE STREET GLOBAL MARKETS, LLC",13746
"STATETRUST CAPITAL, LLC",13749
"STEBEN & COMPANY, INC.",14967
"STERLING BRIDGE INSURANCE AGENCY, INC.",18734
"STEWARD PARTNERS GLOBAL ADVISORY, LLC",27980
"STEWARD PARTNERS INVESTMENT SOLUTIONS, LLC",21100
"STIFEL, NICOLAUS & COMPANY, INCORPORATED",18760
"STOCKBRIDGE CAPITAL GROUP, LLC",26485
STONE COAST FUND SERVICES LLC,15591
"STONECREST MANAGERS, INC",17897
STONEPEAK PARTNERS LP,20700
STONEX FINANCIAL INC.,13765
"STRATCAP INVESTMENT MANAGEMENT, LLC",18504
"STRATEGIC ASSET MANAGEMENT I, LLC",17261
SUMMIT WEALTH GROUP LLC,28900
SUN LIFE ASSURANCE COMPANY OF CANADA (U.S. BRANCH),13821
SYMETRA LIFE INSURANCE COMPANY,13856
"SYNDICATED CAPITAL, INC.",13860
"SYNOVUS SECURITIES, INC.",16754
S2K SERVICING LLC,17705
T D WATERHOUSE CANADA INC. #2,13889
"T. ROWE PRICE INVESTMENT SERVICES, INC.",13468
TALCOTT RESOLUTION LIFE INSURANCE COMPANY,11666
TALIMAR FINANCIAL INC.,24181
"TAURUS INVESTMENT HOLDINGS, LLC",24478
TCW FUNDS DISTRIBUTORS,15544
TD PRIME SERVICES LLC,11406
TD SECURITIES (USA) LLC,10469
TEACHERS ADVISORS LLC,13893
TEACHERS INSURANCE AND ANNUITY ASSOCIATION OF AMERICA,13894
TELSEY ADVISORY GROUP LLC,28517
TEMPLUM MARKETS LLC,25840
"TERRA INCOME ADVISORS, LLC",16991
"TFA ASSOCIATES, LLC",17953
THE BANCORP BANK,10297
THE BANK OF NEW YORK MELLON,19031
THE CAPITOL LIFE INSURANCE COMPANY,18608
THE CENTRAL TRUST BANK,18868
"THE COLONY GROUP, LLC",16457
"THE EVERGREEN ADVANTAGE, LLC",25959
THE HIIVE COMPANY LIMITED,28361
THE HUNTINGTON NATIONAL BANK,11751
"THE IMPACT PARTNERSHIP, LLC",26097
"THE LIGHTSTONE GROUP, LLC",17410
THE LINCOLN NATIONAL LIFE INSURANCE COMPANY,12185
"THE MILESTONE REAL ESTATE GROUP, L.P.",26317
THE NASDAQ STOCK MARKET LLC,12550
THE NORTHERN TRUST COMPANY,12739
THE O.N. EQUITY SALES COMPANY,12816
"THE PANGBURN GROUP, INC.",14572
THE PENN MUTUAL LIFE INSURANCE COMPANY,12888
"THE PRAEDIUM GROUP, LLC",18057
THE PRUDENTIAL INSURANCE COMPANY OF AMERICA,13171
"THE TRUE LIFE COMPANIES, LLC",19920
THE UNITED STATES LIFE INSURANCE COMPANY IN THE CITY OF NEW YORK,14147
"THE VANGUARD GROUP, INC.",23980
THE VARIABLE ANNUITY LIFE INSURANCE COMPANY,14193
THE VENTURE COLLECTIVE LLC,26060
"THEOREM FUND SERVICES, LLC",17406
"THOMPSON DAVIS & CO., INC.",15554
THORNBURG SECURITIES LLC,13928
THRIVENT FINANCIAL FOR LUTHERANS,17905
THRIVENT INVESTMENT MANAGEMENT INC.,13932
THRIVENT MUTUAL FUNDS,12220
"TIAA TRUST, NATIONAL ASSOCIATION",16640
TIB THE INDEPENDENT BANKERS BANK,13937
"TIME EQUITIES SECURITIES, LLC",16787
TMF FUND SERVICES NORTH AMERICA LLC,22137
"TMF SAN DIEGO, LLC",20477
"TOCQUEVILLE SECURITIES, L.P.",12133
"TOUCHSTONE SECURITIES, INC.",13963
"TOWN WEST REALTY, INC.",20346
TP ICAP GLOBAL MARKETS AMERICAS LLC,11760
TRADEBACKED INC,27163
"TRADEBOT SYSTEMS, INC.",13977
TRADELINK SECURITIES LLC,18838
"TRADESTATION SECURITIES, INC.",13991
"TRADEUP SECURITIES, INC.",12267
TRADITION SECURITIES AND DERIVATIVES LLC,13997
TRANS-OCEANIC LIFE INSURANCE COMPANY,18863
"TRANSAMERICA CAPITAL, LLC",14001
"TRANSAMERICA FINANCIAL ADVISORS, INC.",14004
TRANSAMERICA FINANCIAL LIFE INSURANCE COMPANY,14006
TRANSAMERICA LIFE INSURANCE COMPANY,10040
"TRIAD PARTNERS, LLC",28143
"TRIDENT FUND SERVICES, INC.",17633
"TRILINC ADVISORS, LLC",16122
"TRINITY INVESTORS, LLC",23360
"TRIUS CAPITAL REAL ESTATE INVESTMENT FUND, LP",24678
TRIUS CAPITAL RENEWABLE ENERGY INTERNATIONAL FUND LP,23398
TRUIST BANK,10488
"TRUIST INVESTMENT SERVICES, INC.",13841
TRUIST SECURITIES INC.,16168
TZ CLEAR LLC,12057
U. S. BOSTON CAPITAL CORPORATION,14158
"U.S. BANCORP ASSET MANAGEMENT, INC.",18702
"U.S. BANCORP FUND SERVICES, LLC\MONROE CAPITAL PRIVATE CREDIT FUND II (CAIS OFFSHORE) LP",16874
"U.S. BANCORP FUND SERVICES, LLC\MONROE CAPITAL PRIVATE CREDIT FUND II (CAIS) LP",16873
"U.S. BANCORP INVESTMENTS, INC.",14156
U.S. BANK N.A.,14157
"U.S. TRANSFER AGENCY, INC.",21179
UBS FINANCIAL SERVICES INC.,16594
UBS GLOBAL ASSET MANAGEMENT (US) INC.,14056
UBS SECURITIES LLC,14065
"ULTIMUS FUND DISTRIBUTORS, LLC",14561
"ULTIMUS PRIVATE FUND SOLUTIONS, LLC",15668
"UMB BANK, NATIONAL ASSOCIATION",14089
"UMB FUND SERVICES, INC.",15071
UNION BANK & TRUST COMPANY,12594
UNION BANK & TRUST COMPANY NEBRASKA,14136
UNITED BANKERS' BANK,14142
"UNITED BROKERAGE SERVICES, INC.",17898
UNITED LIFE INSURANCE COMPANY,18428
"UNITED PLANNERS' FINANCIAL SERVICES OF AMERICA, L.P.",14682
UNIVERSAL LIFE INSURANCE COMPANY,14575
UPRIGHT INVESTMENTS TRUST,16757
US BANCORP FUND SERVICES LLC,15582
US BANK N.A.,19049
USAA LIFE INSURANCE COMPANY,18615
USAA LIFE INSURANCE COMPANY OF NEW YORK,18616
"VALIC FINANCIAL ADVISORS, INC.",10046
VALLES CAPITAL INC.,28340
"VALLEY NATIONAL INVESTMENTS, INC.",19050
"VALMARK SECURITIES, INC.",14173
"VALUEWORKS LIMITED PARTNERS, LP",16158
VAN ECK ASSOCIATES CORPORATION,27220
VAN ECK SECURITIES CORPORATION,14178
"VANDERBILT SECURITIES, LLC",26502
VANGUARD FIDUCIARY TRUST COMPANY,18896
VANGUARD MARKETING CORPORATION,14189
"VANTAGE RETIREMENT PLANS, LLC",18358
VANTIS LIFE INSURANCE COMPANY,17523
"VCC ADVISORS, LLC",21258
VEGA PRIVATE EQUITY LLC,28217
VELOCITY CAPITAL LLC,18418
"VELOCITY CLEARING, LLC",12767
VELOX CLEARING LLC,18559
VENERABLE INSURANCE AND ANNUITY COMPANY,11807
"VENTURE.CO FUND SERVICES, LLC",28177
"VEPF MANAGEMENT, L.P.",26777
"VERIVEST, LLC",24605
"VESTED INVESTMENT MANAGEMENT, LLC",24960
"VESTWELL HOLDINGS, INC.",20440
"VIGILANT DISTRIBUTORS, LLC",19499
"VINING-SPARKS IBG, L.P.",14214
VIRTU AMERICAS LLC,12049
"VIRTUS REAL ESTATE, LLC",17794
VISION FINANCIAL MARKETS LLC,14217
"VISIONARY VENTURES MANAGEMENT, LLC",26303
VISTA CREDIT STRATEGIC LENDING CORP.,24758
"VISTRA USA, LLC",17494
"VIVALDI CAPITAL MANAGEMENT, LLC",19052
"VOSGES DEVELOPMENT, LLC",23141
"VOYA FINANCIAL ADVISORS, INC.",11793
"VOYA INSTITUTIONAL PLAN SERVICES, LLC",14904
VOYA INSTITUTIONAL TRUST COMPANY,16993
"VOYA INVESTMENTS DISTRIBUTOR, LLC",11796
VOYA RETIREMENT INSURANCE AND ANNUITY COMPANY,11801
"VP DISTRIBUTORS, LLC",14220
W. P. CAREY & CO. LLC,15401
"WACHTEL & CO., INC.",14225
"WALKER FINANCIAL SERVICES, INC.",26945
"WALTON GLOBAL HOLDINGS, LTD",18836
"WALTON INTERNATIONAL GROUP (USA), INC.",16231
"WASSERSTEIN DEBT OPPORTUNITIES MANAGEMENT, LP",23359
"WATER ASSET MANAGEMENT, LLC",23720
"WATERLOO ASSOCIATES, LLC",29083
